disengagement_description,count
"Planning; as a precaution, the safety operator intervened to avoid a vehicle that illegally ran a red light from a blind spot occluded by a truck in Autonomous Driving Vehicle's neighbor lane.",1
"Planning; as a precaution, the safety operator intervened to avoid the risk of the Autonomous Driving Vehicle colliding with a truck making a wide right turn across multiple lanes.",1
"Planning; as a precaution, the safety operator intervened to avoid the risk of being rear-ended by a vehicle after the Autonomous Driving Vehicle nudged around garbage on the road.",1
Planning Logic: Planner trajectory inadequately yields for vehicle reversing from driveway,1
Planning Logic: Incorrect behavior prediction for reversing agent results in incorrect stopping location,1
Planning Logic: Planner trajectory inadequately yields for tailgating agent,1
Planning Logic: Planner trajectory inadequately pulls over with agent behind,1
Object Perception: Incorrect perception of false object in road leads to unwanted braking with tailgating agent,1
Object Perception: Incorrectly perceived inroad object led to unwanted braking,1
Planning Logic: Planner trajectory shifts into adjacent lane with passing vehicle,1
Planning Logic: Incorrect planner trajectory fails to adequately yield to adjacent vehicle while merging,1
Planning Logic: Planner trajectory inadequately yields for cyclist with agent behind,1
Mapping: Inaccurate map tiles due led to overlap with physical bike lane separator,1
"The AV was block by a car double park on the street, the AV as not able to go around due to incoming traffic. As a result, Driver safely disengaged and resumed manual control.",1
"The AV Software module that  generates a plan generated a wrong path different from desired path. As a result, Driver safely disengaged and resumed manual control.",1
"When the AV was making a lane change, too much acceleration was observed despite a set target speed. As a result, the driver safely disengaged and resumed manual control.",1
"The AV was approaching a turn too fast. As a result, the driver safely disengaged and resumed manual control.",1
"The AV did not see the traffic light and the AV stopped for a green light. As a result, the driver safely disengaged and resumed manual control.",1
Prediction Discrepancy: Disengaged due to inconsistent pedestrian predictions at a crosswalk,1
Perception Discrepancy: Disengaged due to inconsistent detection and tracking for a motorcycle in front of the Autonomous Vehicle (AV) at a traffic light,1
"Mapping Discrepancy: Disengaged due to inaccurate real world map representation, traffic light shape in this case",1
Planning Logic: Inccorect planner trajectory fails to adequate yield to lead vehicle,1
Perception; the safety operator intervened due to perception deficiency where the system failed to detect an object correctly.,1
Object Perception: Incorrect perception of bus leads to nudging into adjacent lane with tailgating agent,1
Driver disengagement due to planning discrepancy in yielding to truck cut-in,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for ego vehicle creeping into 4-way stop intersection while yielding to pedestrians.,1
Safety Driver disengaged autonomous mode to re-center vehicle in lane. ,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle slowed down too quickly in an exit lane.,1
Driver disengaged with steering input. Driver took over for wobbly pathing while driving straight in-lane.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over because other car cut into our lane during a left turn.,1
Unknown error that caused the system to disengage: [29.14]Pedestrian detection MRCFR2 state timeout,1
Disengagement for a missed detection by a component of perception system of the lead vehicle (trailer truck).,1
Turning close to curb due to inaccurate controller or path planning,1
Perception Discrepancy: Disengaged due to inaccurate vehicle size detection,1
Perception Discrepancy: Disengaged for lack of consistently accurate traffic light state detection,1
Driver disengagement due to perception discrepancy in the detection of  vehicle merging into ego vehicle,1
Driver disengagement due to perception discrepancy in the false detection of vehicle merging into ego vehicle,1
Driver disengagement due to planning discrepancy: failure to execute lane change due to other vehicle blocking ,1
"Planning; as a precaution, the safety operator intervened to avoid a vehicle that did not yield and made an unprotected left turn into Autonomous Driving Vehicle's traveling lane in intersection while Autonomous Driving Vehicle had the right of way.",1
Driver disengagement due to planning discrepancy: failure to execute lane change due to contention,1
Driver disengagement due to safety monitor notification of planning discrepancy,1
Driver disengagement due to safety monitor notification of route planner discrepancy,1
Planning Logic: Incorrect prediction leads to inadequate yield to cyclist in crosswalk ,1
Planning Logic: Incorrect prediction leads to inadequate yield to cyclist running stop sign,1
An error message is received due to a time synchronization problem,1
"Precautionary Takeover: The camera is covered by dust, so the traffic light is not recognized,  therefor takeover was initiated",1
Planning Logic: Incorrect planner trajectory fails to adequate yield to lead vehicle,1
"While Pony.ai's Autonomous Driving Vehicle stopped on the side of the road, a passenger vehicle reversed out of a parking spot into a Pony.ai autonomous testing vehicles rear bumper.",1
"Planning; as a precaution, the safety operator intervened to react to a vehicle that had cut off the Autonomous Driving Vehicle while the vehicle was making an illegal right turn.",1
"Planning; as a precaution, the safety operator intervened to avoid the risk of the Autonomous Driving Vehicle colliding with a vehicle in a parking lot when Autonomous Driving Vehicle was making a left turn.",1
"While in supervised (Drivered) autonomous mode, a Pony.ai Autonomous Vehicle stopped in a parking lot when a passenger vehicle reversed into the Pony.ai vehicle.",1
Object Perception: Incorrect perception of railroad crossing leads to unwanted braking with tailgating agent,1
Prediction Discrepancy: Disengaged due to inaccurate lead vehicle predictions prior to the Autonomous Vehicle (AV) turning left at an intersection,1
Planning Discrepancy: Disengaged due to planning trajectory scoring issue causing the Autonomous Vehicle (AV) to maneuver close to the parked vehicles,1
"Safety Driver disengaged due to inappropriate braking proposal, caused by perception issue.",1
"Weather(Sunny), Daylight: Safety Decision - 4 way Stop, Car started when it was its turn, impatient driver forced his way (Safety Takeover)",1
Vehicle driver took over for safety. Late deceleration due to inaccurate traffic sign detection,1
Vehicle driver took over for safety. Precautious disengagement due to inaccurate path planning ,1
"Weather(Sunny), Daylight: Safety Decision - 4 way Stop, Car started when it was his turn, impatient driver forced his way (Safety Takeover)",1
"Weather(Sunny), Daylight: Safety Decision - Car coming to close to AV, from the adjacent lane (Safety Takeover)",1
"Weather(Sunny), Daylight: Computing issue - AV didn't engage at 4 way stop - Car stayed still when it was its turn to go for unknown reason",1
"While traveling on a narrow road, an incoming vehicle approached from the front traveling towards the AV. Since this is a safety critical situation, the operatpr took over.",1
"The lead vehicle stopped for stop sign was falsely identified as a ""side-parked"" vehicle while AV approached from behind resulting in AV attempting to bypass the lead vehicle. The operator intervened and look over in order to prevent the  bypass.",1
Safety Driver disengaged to manually drive past pedestrians near the road.,1
Safety Driver disengaged due to inappropriate steering.,1
Safety Driver disengaged due to vehicle not giving enough space for cross traffic.,1
Safety Driver disengaged due to inappropriate braking proposal.,1
Safety Driver disengaged upon judging that vehicle was too close to other road user or obstacle.,1
"Weather(Sunny), Daylight: Computing issue - Software Crash - Localization component stopped working for unknown reasons",1
Prediction discrepancy. Late and illegal cut-in from other vehicle from adjacent lane.,1
Vehicle driver took over for safety. Precautious disengagement due to passing car on red light,1
Prediction discrepancy. Late cut-in from other vehicle from adjacent lane.,1
"The test vehicle could get too close to another vehicle during a merge. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",1
"The software gave back control to the driver, due to a minor system error, Conditions: Non-inclement weather, dry roads, no other factors involved.
Root Cause: Software kickout. There are criteria that the software needs to meet to be in a healthy state. If one of these has an error, the software hands back control to the driver for safety reasons. This kickout was related to the drive-by-wire system throwing a software fault indicating that the self-driving software application the operator uses to monitor the cars behavior needs to be restarted. This is not safety critical; it just means an application restart fixes the issue",1
"The system interrupted a lane change maneuver unreasonably. Root cause: object or lane detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",1
"The test vehicle was rear-ended by another vehicle, requiring the Safety Driver to disengage the system and safely take control of the vehicle.",1
Disengagement in response to a cyclist making contract with the AV. ,1
"Disengagement for prediction discrepency which affected the planning and decision, and resulted in the vehicle to make unwanted maneuver.",1
Precautionary takeover to address prediction; lane encroachment,1
"Other road user behaving poorly, making illegal left turn in front of AV that was traveling straight",1
"Other road user behaving poorly, making illegal turn in front of AV traveling straight",1
Vehicle driver took over for safety. Late acceleration  due to inaccurate path planning ,1
Vehicle driver took over for safety. Late deceleration due to inaccurate decision making,1
Planning Logic: Incorrect planner trajectory fails to adequately yield to pedestrian on scooter in bike lane,1
Object Perception: Late perception of oncoming turning agent cuts off Nuro vehicle leading to inadequate yield,1
Planning Logic: Incorrect planner trajectory fails to adequately yield to adjacent vehicle overtaking Nuro vehicle while merging,1
Planning Logic: Incorrect planner trajectory fails to adequately yield to adjacent vehicle while merging due to construction,1
Planning Logic: Incorrect behavior leads to unwanted braking with tailgating cyclist ,1
Planning Logic: Planner trajectory inadequately yields for oncoming while making a left turn,1
Test driver decided to take over driving task due to unnecessary lane change.,1
Planning Logic: Planner trajectory inadequately yields for cross traffic,1
Construction: In vehicle operator decided to resume control due to construction on the road.,1
Test driver decided to take over driving task to give another road user priority,1
Object Perception: Incorrect perception of debris in road leads to unwanted braking with tailgating agent,1
Test driver decided to take over driving task to give other road user priority.,1
Planning Logic: Incorrect planner trajectory fails to yield for cross traffic,1
Planning Logic: Incorrect planner trajectory fails to yield for cross traffic violating right of way,1
Planning Logic: Incorrect planner trajectory fails to adequately yield to turning cross traffic agent,1
Vehicle driver took over for safety. Inaccurate lane-switching due to inaccurate decision making,1
Localization: Poor localization led to driving onto curb,1
Vehicle driver took over for safety. Not entering intersection due to inaccurate object detection,1
Vehicle driver took over for safety. Precautious disengagement due to inaccurate car detection,1
Vehicle driver took over for safety. Not entering intersection due to inaccurate road perception,1
Vehicle driver took over for safety. Late deceleration due to inaccurate road lines perception,1
Vehicle driver took over for safety. Not stopping at intersection due to inaccurate decision making,1
Vehicle driver took over for safety. Late deceleration due to inaccurate object detection,1
Driver disengagement to perform manual lane change,1
Vehicle driver took over for safety. Not stopping for pedestrian due to inaccurate decision making,1
"Weather(Sunny), Daylight: Safety Decision - Car Crash in front of the Vehicle in its lane, (safety takeover)",1
Vehicle driver took over for safety. Inaccurate lane-switching due to innacurate road perception ,1
Vehicle driver took over for safety. Inaccurate lane-switching due to innacurate path intent,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for braking and slow driving through right turn.,1
Driver disengaged with steering input. Driver took over because ego vehicle kept attempting to pull over and queue behind parked cars.,1
"Weather(Sunny), Daylight: Controls disengaged at traffic light due to requesting deceleration above threshold - System is not allowed to do emergency braking by itself",1
Precautionary takeover to address controls; yielding to cross traffic,1
Perception discrepancy; On city road in heavy traffic with cloudy sky during dusk,1
Motion/Behaviour planning discrepancy; On city road in heavy traffic with cloudy sky during night,1
Perception discrepancy; On city road in moderate traffic with light rain during day,1
Motion/Behaviour planning discrepancy; On city road in heavy traffic with cloudy sky during day,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for sluggish speed while searching for lane change gap.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unexpected braking due to fallback trajectory error state.,1
Driver disengaged with steering input. Driver took over due to improper yielding to a pedestrian near roadway during left turn.,1
Disengage for a unwanted maneuver of the vehicle going into the construction zone (unwanted behavior for the perception failed on traffic cones).,1
Vehicle had an aggressive lane change right after leaving parking lot; the safety driver took over to avoid collision with the traffic.,1
Autonomous vehicle did not recognize traffic light accurately and stopped at a junction with green light. The safety driver took over the vehicle to avoid blocking the vehicle behind.,1
Precautionary takeover to address perception; yielding to obscured vehicle,1
Precautionary takeover to address prediction; yielding to obscured vehicle,1
Precautionary takeover to address planning; yielding to obscured vehicle,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to creeping forward at a red light.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to unexpected swerve in response to driver in oncoming lanes travelling straight through a left turn lane.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for failure to slow appropriately during lane change approaching a red light.,1
Disengagement for a perception discrepancy which impacted the vehicle to react and make unwanted maneuver in traffic.,1
"AV did not sufficiently slow for a rapidly braking lead vehicle on a highway, with heavy surrounding traffic, in clear weather.",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for overly cautious braking approaching a lane merge.,1
"System software failure in the planner module while approaching stop sign on surface street, with no surrounding traffic and in clear weather.",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for proceeding too slowly through left turn.,1
"System sofware failure in the planner module at a specific surface street location, with no surrounding traffic, related to a mapping issue.  The weather was clear.",1
AV did not sufficiently slow for a merging vehicle on a highway in cloudy weather.,1
"A system software failure in the planner module during lane change, with surrounding traffic, on a highway in clear weather. ",1
Precautionary disengagement in response to other road user's non-compliant behavior*,1
Reduced visibility of a vehicle due to occlusions resulted in an undesirable motion plan,1
Vehicle driver took over for safety. Not stopping at intersection due to inaccurate path planning,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to unexpected short green light cycle.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle was not proceeding at a green light.,1
Vehicle driver took over for safety. Late deceleration for stop sign and traffic light intersection due to weak road perception,1
Vehicle driver took over for safety. Not stopping for red traffic light due to incorrect traffic light selection,1
Vehicle driver took over for safety. Didn't stop for a car inside the intersection when traffic light is green due to inaccurate path planning,1
Vehicle driver took over for safety. Inaccurate lane-keeping due to weak road perception,1
Vehicle driver took over for safety. Slow acceleration due to weak road perception,1
Vehicle driver took over for safety. Unplanned deceleration to idling pedestrian due to inaccurate path planning,1
Vehicle driver took over for safety. Not stopping behind stopped vehicle due to weak object detection,1
Vehicle driver took over for safety. Late deceleration for pedestrian due to weak object detection,1
Precautionary takeover to address perception; close trailing vehicle,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for sudden braking after a lane change.,1
Vehicle driver took over for safety. Not stopping for cyclist due to weak object detection,1
Vehicle driver took over for safety. Late deceleration for stop sign due to weak object detection,1
Vehicle driver took over for safety. Incorrect intersection priority due to inaccurate path planning,1
Vehicle driver took over for safety. Late deceleration for traffic light intersection due to weak road perception,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over of unexpected braking during lane split into turn lane.,1
Vehicle driver took over for safety. Incorrect driving path at intersection due to inaccurate path planning,1
"Vehicle driver took over for safety. Late deceleration for red traffic light, too close to bike lane due to inaccurate path planning",1
Vehicle driver took over for safety. Incorrect lane-switching due to inaccurate path planning,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unstable acceleration profile over train tracks.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unexpected frequent braking approaching cyclist.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for slow approach to highway onramp with tailgating vehicle behind us.,1
"Vehicle driver took over for safety. Stopped too close to other car, can't overtake due to weak object detection",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for braking on highway in response to vehicles travelling in above overpass.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for some unexpected braking during a left turn.,1
Vehicle driver took over for safety. Late deceleration for red traffic light due to incorrect traffic light selection,1
Vehicle driver took over for safety. Late deceleration for pedestrian due to inaccurate path planning,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for parked car on right side suddenly opening driver-side door.,1
Driver disengaged with steering input. Driver took over for improper lane change attempt without appropriate space.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle was proceeding slowly through a left turn.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unexpected braking during left turn.,1
Planning discrepancy; system planned incorrect trajectory based on another vehicle making an illegal maneuver from a parking lane.,1
Prediction discrepancy; incorrect trajectory estimation of another vehicle making a lane change into Zooxs lane from adjacent lane.,1
Prediction discrepancy; incorrect trajectory estimation of an adjacent vehicle making an illegal left turn crossing into Zoox's lane of traffic.,1
Planning and prediction discrepancy; incorrect trajectory estimation based on cyclist and incorrect planning yield for second adjacent cyclist.,1
Prediction and planning discrepancy; incorrect trajectory estimation and planning for another vehicle making an illegal maneuver from a left turn only lane.,1
Prediction discrepancy; false positive parked vehicle classification of a vehicle that was attempting to pull in front of us from a parking lane.,1
Prediction discrepancy; incorrect trajectory estimation of vehicle cut-in.,1
Planning and prediction discrepancy; incorrect trajectory estimation of and planning for another vehicle making an illegal lane change.,1
Prediction discrepancy; incorrect trajectory estimation of a parking vehicle.,1
Prediction discrepancy; incorrect trajectory estimation of another vehicle making a lane change from adjacent lane.,1
Prediction discrepancy; incorrect trajectory estimation of another vehicle making a lane cut-in to Zoox's lane of traffic.,1
Planning and prediction discrepancy; incorrect trajectory estimation of and planning for another vehicle cutting into Zoox's lane of traffic.,1
Prediction discrepancy; incorrect trajectory estimation of another vehicle making an illegal maneuver from a left turn only lane.,1
Planning and prediction discrepancy; incorrect trajectory estimation of and planning for another vehicle preceding out of turn at a stop sign.,1
Planning discrepancy; system planned incorrect trajectory due to another vehicle making a cut-in to Zoox's lane.,1
"Discrepancy in planning. While throughlanes were fully blocked by traffic jam, AV was trying to diverge to the right lane but too close to other vehicles",1
"Discrepancy in planning. When AV almost finished the right turn, a vehicle from the rear side still ran fast towards AV",1
"Discrepancy in planning. While AV merged into highway, a car aggressively cut in crossing solid white line",1
Driver disengaged with steering input. Driver took over because vehicle failed to slow and yield at a required yield.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because of unstable planned trajectory availability.,1
"Weather(Sunny), Daylight: ODD - Car on our lane going on reverse for parking - Collision risk with the Stopped AV - Test car not allowed to go over the double yellow lane marking",1
"Weather(Sunny), Daylight: Safety Takeover because of reckless driver",1
"Weather(Sunny), Daylight: Lateral Actuator Limit reached during a turn - Path planning SW requested a tighter turn than allowed",1
"Weather(Sunny), Daylight: Safety Takeover because of Tailgater",1
"Weather(Sunny), Daylight: Safety Takeover after Ghost Braking",1
"Weather(Sunny), Daylight: Right turn at traffic light (upcoming traffic not seen)",1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for inappropriate lane change planned too close to lead vehicle and too close to intersection.,1
Perception and prediction discrepancy; incorrect trajectory estimation of another oncoming speeding vehicle behind occlusions moving towards Zoox's lane of traffic.,1
Planning and prediction discrepancy; incorrect trajectory estimation of and planning for on a occluded cyclist entering Zoox's lane from a private driveway without stopping for oncoming traffic.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for a failure to yield to a pedestrian at a left turn.,1
"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved",1
Driver disengaged with steering input. Driver took over for insufficient nudging around a stopped vehicle.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over to yield to pedestrians at a crosswalk and give more space.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for a slow approach into a highway onramp with a vehicle approaching quickly behind us.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver braking for a late reaction to a yellow light.,1
Driver disengaged with steering input. Driver took over because ego vehicle was turning right into the far lane instead of the near lane.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for improper yielding at a crosswalk with approaching pedestrians.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for animal in the roadway.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for a failure to yield to a car turning left at a 4-way stop.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for late braking for a yellow light.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for pedestrians suddenly entering the roadway.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over because ego vehicle was not leaving sufficient space around other car during lane change.,1
Ego drifting towards curb due to degrading localization,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over because ego vehicle was getting too close to the lead vehicle.,1
Planning discrepancy; system planned incorrect trajectory based on another vehicle slowing to make a right turn.,1
Driver disengaged with steering input. Driver took over because ego vehicle was getting too close to parked cars on the right.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle was slowing down too much to find a lane change gap.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over because ego vehicle was approaching red light too fast after completing a lane change.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over because of braking behavior immediately after engaging.,1
"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. 
Conditions: Non-inclement weather, dry roads, no other factors involved",1
"Lane change did not happen in time in an exit/merge situation - therefore disengaged
Conditions: Non-inclement weather, dry roads, no other factors involved",1
"During the lane change maneuvre a truck on the right lane wanted to make lane change into our lane
Conditions: Non-inclement weather, dry roads, no other factors involved",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for braking and rough trajectory during lane change.,1
Driver disengaged with steering input. Driver took over because ego vehicle went into a fallback trajectory state immediately after engaging.,1
Planning discrepancy; system reacted late to a parked vehicle with a suddenly opened door.,1
Planning discrepancy; system planned incorrect trajectory based on another vehicle that did not appropriately yield at stop sign.,1
Prediction discrepancy; incorrect trajectory estimation based on another occluded vehicle pulling out of a private driveway without stopping for Zoox's lane of traffic.,1
Planning and Prediction discrepancy; incorrect trajectory estimation of and planning for a vehicle cutting into lane of traffic.,1
