Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,1/13/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to positioning discrepancy resulting in undesired lateral movement in the lane,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,1/13/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,1/13/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,1/13/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,1/14/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to execute mandatory lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,1/14/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,1/19/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy in yielding to merging vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,1/19/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to yield to merging vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,1/27/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,1/27/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,2/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,2/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,2/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,2/25/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to positioning discrepancy resulting in undesired lateral movement in the lane,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,2/25/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,2/26/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy causing undesired braking,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,2/26/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/4/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning discrepancy compared to ground truth positioning system,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/5/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/18/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/24/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/26/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to yield to merging vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/26/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/26/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/30/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy in yielding to merging vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/30/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/30/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/30/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3/30/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/1/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/1/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/2/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to execute mandatory lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/5/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver precautionary  disengagement due to lead vehicle transitioning to the highway shoulder,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/5/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to execute lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/5/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/6/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to conditions exceeding ODD,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/6/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy causing undesired braking,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/7/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to perception discrepancy causing false positive vehicle detection,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/7/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/8/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver precautionary disengagement due to aggressive driver passing in lane merge,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/8/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/9/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to conditions exceeding ODD ,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/9/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to execute lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/9/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/12/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to conditions exceeding ODD,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/12/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to yield to merging vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/12/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/23/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/23/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/27/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,4/29/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/3/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/4/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver precautionary disengagement due to aggressive cut-in by other vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/5/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/5/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/5/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/5/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/6/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to yield to merging vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/6/2021,3LN6L5LU0HR663007,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/6/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/6/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/6/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/6/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/6/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/6/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/7/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/13/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/18/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/18/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,5/19/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,6/28/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,6/29/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to yield to merging vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,6/29/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,6/29/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,7/9/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to conditions exceeding ODD,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,7/9/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,7/9/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,7/20/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to conditions exceeding ODD,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,7/20/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to conditions exceeding ODD,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,7/20/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to yield to merging vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,7/20/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to yield to merging vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,7/20/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver precautionary disengagement due to aggressive cut-in by other vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,7/26/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to conditions exceeding ODD,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,7/26/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,8/5/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to conditions exceeding ODD  ,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,8/12/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,8/12/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,8/12/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,8/12/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver precautionary disengagement due to aggressive cut-in by other vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,8/26/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,8/31/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,8/31/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,8/31/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,9/13/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,9/13/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,9/13/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,9/14/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy causing undesired braking,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,9/14/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,9/16/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to perception discrepancy in the detection of  truck merging into ego vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,9/17/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy: failure to yield to merging vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,9/17/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,9/30/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of positioning error,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,9/30/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,10/12/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of general system discrepancy,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,10/12/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,10/12/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,10/13/2021,3LN6L5MU1JR627234,No,Yes,Test Driver,Highway,Driver disengagement due to planning discrepancy causing undesired braking,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to conditions exceeding ODD,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to perception discrepancy in the detection of  truck merging into ego vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/17/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to safety monitor notification of planning discrepancy in the determination of vehicle trajectory,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/23/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to perception discrepancy in the detection of  truck merging into ego vehicle,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,11/23/2021,3LN6L5LU9HR650658,No,Yes,Test Driver,Highway,Driver disengagement due to perception discrepancy in the detection of  truck merging into ego vehicle,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-11-30 17:09:05,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-01 13:04:51,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to manually drive past pedestrians near the road.,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-03 18:15:02,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-04 17:25:05,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-07 13:54:25,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-07 17:37:33,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-08 13:36:43,JTHCYLFF0J5001364,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to manually drive past pedestrians near the road.,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-08 17:49:21,JTHCYLFF0J5001364,No,Yes,Test Driver,street,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-09 12:33:53,JTHCYLFF0J5001364,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to inappropriate braking proposal.,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-09 14:52:38,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to manually drive past pedestrians near the road.,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-09 16:57:10,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-09 17:51:06,JTHCYLFF0J5001364,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to cut-in issue.,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-10 18:03:47,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to cut-in issue.,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-14 17:34:25,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-14 18:37:10,JTHCYLFF0J5001364,No,Yes,Test Driver,street,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-15 13:34:48,JTHCYLFF0J5001364,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to cut-in issue.,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-15 18:26:50,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,Safety Driver disengaged autonomous mode due to cut-in issue.,
"TOYOTA RESEARCH INSTITUTE, INC.",AVT050,2020-12-22 13:03:16,JTHCYLFFXJ5001291,No,Yes,Test Driver,street,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
